"hf","hm","C","dStar","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0.15,0.74,0.02,1.1,0.103071353093007,0.112,0.824725,0.0361,1e-06,6e-06,0,0,0,0,0,0,0.139168,0,0,0,0,0,0,0,0,0,0.500000000000001,0.040235829540753
0.5,0.5,0.2,0.72,0.02,1.1,0.0989259468626343,0.112,0.78005,0.033243,0,7e-06,0,0,0,0,0,0,0.1867,0,0,0,0,0,0,0,0,0,0.5,0.0383951682484902
0.5,0.5,0.25,0.7,0.02,1.1,0.0942126514131898,0.112,0.734734,0.030526,0,7e-06,0,0,0,0,0,0,0.234734,0,0,0,0,0,0,0,0,0,0.500000000000001,0.0365168539325842
0.5,0.5,0.3,0.68,0.02,1.1,0.0889647409128872,0.112,0.688815,0.027956,0,7e-06,0,0,0,0,0,0,0.283223,0,0,0,0,0,0,0,0,0,0.5,0.0346117867165575
0.5,0.5,0.35,0.66,0.02,1.1,0.0832311998097573,0.112,0.642336,0.025538,0,8e-06,0,0,0,0,0,0,0.332118,0,0,0,0,0,0,0,0,0,0.499999999999999,0.0326932425862908
0.5,0.5,0.4,0.64,0.02,1.1,0.0770755340233429,0.112,0.595343,0.023277,0,8e-06,0,0,0,0,0,0,0.381373,0,0,0,0,0,0,0,0,0,0.5,0.0307769929364278
0.5,0.5,0.45,0.62,0.02,1.1,0.0705735706560593,0.112,0.547881,0.021178,0,8e-06,0,0,0,0,0,0,0.430933,0,0,0,0,0,0,0,0,0,0.500000000000002,0.0288813382122321
0.5,0.5,0.5,0.6,0.02,1.1,0.0638103919781222,0.112,0.5,0.019246,0,9e-06,0,0,0,0,0,0,0.480746,0,0,0,0,0,0,0,0,0,0.5,0.0270270270270271
0.5,0.5,0.55,0.58,0.02,1.1,0.0568766589025513,0.112,0.451748,0.017483,1e-06,1e-05,0,0,0,0,0,0,0.530758,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0252370329057446
0.5,0.5,0.6,0.56,0.02,1.1,0.049864653084485,0.112,0.403179,0.015896,1e-06,1e-05,0,0,0,0,0,0,0.580913,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0235361653272101
0.5,0.5,0.65,0.54,0.02,1.1,0.0428643910632119,0.112,0.354348,0.014488,1e-06,1.1e-05,0,0,0,0,0,0,0.631151,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.0219505008839128
0.5,0.5,0.7,0.52,0.02,1.1,0.0359601356210829,0.112,0.305307,0.013261,1e-06,1.2e-05,0,0,0,0,0,0,0.681417,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.020506634499397
0.5,0.5,0.75,0.5,0.02,1.1,0.0292275574112735,0.112,0.256114,0.012219,1e-06,1.4e-05,0,0,0,0,0,0,0.731649,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000002,0.0192307692307692
