C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,0.77,0,0.04547667439625114,0.3343686574787669,2,0,2
0.75,0.2,0.77,0,0.0767247528598406,0.28770459584802366,3,1,2
0.75,0.2,0.77,0,0.03299666110926491,0.15241644237351248,2,0,2
0.75,0.2,0.77,0,0.014099373934237325,0.11861431423104252,3,1,2
0.75,0.2,0.77,0,0.08393687172841846,0.39953379382869736,2,0,2
0.75,0.2,0.77,0,0.029344346006244915,0.11150180206684601,3,1,2
0.75,0.2,0.77,0,0.05524676364842773,0.2417081476877566,3,1,2
0.75,0.2,0.77,0,0.048835140668865074,0.22980054783484616,2,0,2
0.75,0.2,0.77,0,0.06310066684078841,0.30445986004094716,2,0,2
0.75,0.2,0.77,0,0.0303702957355928,0.27699883001479464,3,1,2
0.75,0.2,0.77,0,0.04304847754772467,0.35499218271089306,3,1,2
0.75,0.2,0.77,0,0.08632857902238555,0.4467015575542723,2,0,2
0.75,0.2,0.77,0,0.04782409233024809,0.24913264221476072,2,0,2
0.75,0.2,0.77,0,0.06260559618663564,0.3919046732951198,2,0,2
0.75,0.2,0.77,0,0.06016619601640705,0.23402172480448324,3,1,2
