C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,0.606,0.,0.5154998389231111,0.49620188923668374,0,0,0
0.25,0.8,0.606,0.,0.7672684686481221,0.7161983386921296,0,0,0
0.25,0.8,0.606,0.,0.7415222557478354,0.6119662391910501,0,0,0
0.25,0.8,0.606,0.,0.39253418476373003,0.6615315732701097,0,0,0
0.25,0.8,0.606,0.,0.5866381992423313,0.4563524144929454,0,0,0
0.25,0.8,0.606,0.,0.7521051421267593,0.5898818944185971,1,0,1
0.25,0.8,0.606,0.,0.5820328446812908,0.7160633063777417,0,0,0
0.25,0.8,0.606,0.,0.9055786907521921,0.5370675019477109,1,0,1
0.25,0.8,0.606,0.,0.4819413533481036,0.43808571286292364,0,0,0
0.25,0.8,0.606,0.,0.5418370576092009,0.5436958081550598,0,0,0
0.25,0.8,0.606,0.,0.6778256887034189,0.7636002684233207,0,0,0
0.25,0.8,0.606,0.,0.8401861448936119,0.6173174162952155,1,0,1
0.25,0.8,0.606,0.,0.5405816787951012,0.7946277413445186,0,0,0
0.25,0.8,0.606,0.,0.47478244495726774,0.7613567910564729,0,0,0
0.25,0.8,0.606,0.,0.4819392732683794,0.8967233362200797,0,0,0
0.25,0.8,0.606,0.,0.8209049676385516,0.5052498459656267,1,0,1
0.25,0.8,0.606,0.,0.7109205511246139,0.8579971963579958,0,0,0
0.25,0.8,0.606,0.,0.4552319609199098,0.6913014319582143,0,0,0
0.25,0.8,0.606,0.,0.8382765794513056,0.8632215077168577,0,0,0
