C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.053248779,0.38933571,2,0,2
0.75,0.2,6.38,0,0.112842725,0.416668788,3,1,2
0.75,0.2,6.38,0,0.030745431,0.128224184,3,1,2
0.75,0.2,6.38,0,0.071611145,0.363150448,2,0,2
0.75,0.2,6.38,0,0.099954492,0.388184096,3,1,2
0.75,0.2,6.38,0,0.084816099,0.359446841,3,1,2
0.75,0.2,6.38,0,0.064625495,0.344441002,2,0,2
0.75,0.2,6.38,0,0.052782834,0.425525087,3,1,2
0.75,0.2,6.38,0,0.073095278,0.354232351,2,0,2
0.75,0.2,6.38,0,0.1165286,0.422928273,3,1,2
0.75,0.2,6.38,0,0.079594461,0.313789554,3,1,2
0.75,0.2,6.38,0,0.056816759,0.353079896,2,0,2
0.75,0.2,6.38,0,0.032276411,0.246776491,3,1,2
0.75,0.2,6.38,0,0.029242791,0.193636267,2,0,2
0.75,0.2,6.38,0,0.133418193,0.485176946,3,1,2
0.75,0.2,6.38,0,0.091147147,0.33293493,3,1,2
0.75,0.2,6.38,0,0.020613369,0.143603704,2,0,2
0.75,0.2,6.38,0,0.133426405,0.473191555,3,1,2
0.75,0.2,6.38,0,0.050379585,0.353845543,2,0,2
0.75,0.2,6.38,0,0.077782093,0.333318229,3,1,2
0.75,0.2,6.38,0,0.048159149,0.262014277,2,0,2
0.75,0.2,6.38,0,0.079134117,0.35522218,2,0,2
0.75,0.2,6.38,0,0.051660411,0.301826931,2,0,2
0.75,0.2,6.38,0,0.066514058,0.40977671,2,0,2
0.75,0.2,6.38,0,0.033091189,0.23825956,2,0,2
0.75,0.2,6.38,0,0.096325254,0.412642148,3,1,2
0.75,0.2,6.38,0,0.066801727,0.256153475,3,1,2
0.75,0.2,6.38,0,0.065818063,0.309611668,2,0,2
0.75,0.2,6.38,0,0.041988785,0.385957255,3,1,2
0.75,0.2,6.38,0,0.05223719,0.45040666,3,1,2
0.75,0.2,6.38,0,0.013235368,0.075604341,2,0,2
0.75,0.2,6.38,0,0.059181192,0.353536032,2,0,2
0.75,0.2,6.38,0,0.032364631,0.294877962,3,1,2
